Sentence,Person,True_sentiment
There's nothing to tell! He's just some guy I work with!,Monica,Neutral
All right Joey be nice So does he have a hump? A hump and a hairpiece?,Chandler,Neutral
Just 'cause I don't want her to go through what I went through with Carl oh!,Phoebe,Positive
All of a sudden the phone starts to ring Now I don't know what to do everybody starts looking at me,Chandler,Neutral
Finally I figure I'd better answer it and it turns out it's my mother which is veryvery weird because she never calls me!,Chandler,Negative
I just feel like someone reached down my throat grabbed my small intestine pulled it out of my mouth and tied it around my neck,Ross,Negative
Ooh! Oh! She starts to pluck at the air just in front of Ross,Phoebe,Neutral
Sometimes I wish I was a lesbian They all stare at him Did I say that out loud?,Chandler,Neutral
Oh really so that hysterical phone call I got from a woman at sobbing,Monica,Negative
Alright Ross look You're feeling a lot of pain right now You're angry You're hurting Can I tell you what the answer is?,Joey,Negative
And I just want a million dollars! He extends his hand hopefully,Chandler,Neutral
Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are you are!,Rachel,Positive
Decaff Okay everybody this is Rachel another Lincoln High survivor This is everybody this is Chandler and Phoebe and Joey and you remember my brother Ross?,Monica,Neutral
So you wanna tell us now or are we waiting for four wet bridesmaids?,Monica,Neutral
Now I'm guessing that he bought her the big pipe organ and she's really not happy about it,Monica,Negative
Well I guess we've established who's staying here with Monica,Monica,Neutral
Just breathe breathe that's it Just try to think of nice calm things,Monica,Positive
Okay look this is probably for the best y'know? Independence Taking control of your life The whole 'hat' thing,Monica,Positive
Joey stop hitting on her! It's her wedding day!,Monica,Negative
Please don't do that again it's a horrible sound,Chandler,Negative
Hi come in! Paul this is They are all lined up next to the door everybody everybody this is Paul,Monica,Neutral
I'm sorry I didn't catch your name Paul was it?,Chandler,Neutral
Ooh I just pulled out four eyelashes That can't be good,Phoebe,Negative
Well I was kinda supposed to be headed for Aruba on my honeymoon so nothing!,Rachel,Negative
Heyheyheyhey if you're gonna start with that stuff we're outta here,Joey,Negative
Ross let me ask you a question She got the furniture the stereo the good TV what did you get?,Joey,Neutral
I know I know I'm such an idiot I guess I should have caught on when she started going to the dentist four and five times a week I mean how clean can teeth get?,Paul,Negative
Well you might try accidentally breaking something valuable of hers say her,Paul,Negative
Barry I'm sorry I am so sorry I know you probably think that this is all about what I said the other day about you making love with your socks on but it isn't it isn't it's about me and I ju She stops talking and dials the phone Hi machine cut me off again anywaylook look I know that some girl is going to be incredibly lucky to become Mrs Barry Finkel but it isn't me it's not me And not that I have any idea who me is right now but you just have to give me a chance too,Rachel,Negative
You know what the scariest part is? What if there's only one woman for everybody y'know? I mean what if you get one woman and that's it? Unfortunately in my case there was only one woman for her,Ross,Negative
No it's it's more of a fifth date kinda revelation,Paul,Neutral
Well everev ever since she left me um I haven't been able to uh perform Sexually,Paul,Negative
So you still think you um might want that fifth date?,Paul,Neutral
Grab a spoon Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy don't be a hero' mean anything to you?,Ross,Neutral
Y'know here's the thing Even if I could get it together enough to to ask a woman out who am I gonna ask? He gazes out of the window,Ross,Negative
Y'know I figure if I can make coffee there isn't anything I can't do,Rachel,Positive
Listen while you're on a roll if you feel like you gotta make like a Western omelet or something Joey and Chandler taste the coffee grimace and pour it into a plant pot Although actually I'm really not that hungry,Joey,Neutral
No I'm telling you last night was like umm all my birthdays both graduations plus the barn raising scene in Witness,Paul,Positive
All right kids I gotta get to work If I don't input those numbers it doesn't make much of a difference,Chandler,Neutral
Yeah we all have jobs See that's how we buy stuff,Monica,Neutral
Oh wait wait unless you happened to catch the Reruns' production of Pinocchio at the little theater in the park,Monica,Neutral
"You're right I'm sorry Burst into song and dances out of the door ""Once I was a wooden boy a little wooden boy""",Chandler,Positive
So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling,Monica,Positive
I know he's just so so Do you remember you and Tony DeMarco?,Monica,Neutral
I think we are getting a little ahead of selves here Okay Okay I am just going to get up go to work and not think about him all day Or else I'm just gonna get up and go to work,Monica,Neutral
Oh I hate you I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?,Frannie,Negative
Are you kidding? I take credit for Paul Y'know before me there was no snap in his turtle for two years,Frannie,Positive
Why?! Why? Why why would anybody do something like that?,Monica,Negative
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Monica,Negative
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today,Rachel,Negative
You would be too if you found John and David boots on sale fifty percent off!,Rachel,Neutral
They're my new 'I don't need a job I don't need my parents I've got great boots' boots!,Rachel,Positive
C'mon you can't live off your parents your whole life,Monica,Neutral
Give her a break it's hard being on your own for the first time,Phoebe,Positive
You're welcome I remember when I first came to this city I was fourteen My mom had just killed herself and my stepdad was back in prison and I got here and I didn't know anybody And I ended up living with this albino guy who was like cleaning windshields outside port authority and then he killed himself and then I found aromatherapy So believe me I know exactly how you feel,Phoebe,Negative
Come on you made coffee! You can do anything! Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it,Ross,Positive
Welcome to the real world! It sucks You're gonna love it!,Monica,Neutral
That's Paul's watch You just put it back where you found it Oh boy Alright Goodnight everybody Ross and,Monica,Neutral
Okay You know you probably didn't know this but back in high school I had a um major crush on you,Ross,Positive
You did! Oh I always figured you just thought I was Monica's geeky older brother,Ross,Neutral
Oh Listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if I asked you out? Sometime? Maybe?,Ross,Positive
I just grabbed a spoon Ross exits and Monica has no idea what that means,Ross,Neutral
I said that you had a nice butt it's just not a great butt,Monica,Negative
Everything you need to know is in that first kiss,Rachel,Neutral
Yeah I think for us kissing is pretty much like an opening act y'know? I mean it's like the standup comedian you have to sit through before Pink Floyd comes out,Chandler,Neutral
The problem is though after the concert's over no matter how great the show was you girls are always looking for the comedian again y'know? I mean we're in the car we're fighting traffic basically just trying to stay awake,Chandler,Negative
He's out banging other women over the head with a club while she sits at home trying to get the mastodon smell out of the carpet!,Marsha,Negative
Ah well in here anyone who stands erect So what's new? Still uh,Ross,Neutral
Well you never know How's um how's the family?,Ross,Neutral
Oh uh that would be mine See I wrote a note to myself and then I realised I didn't need it so I balled it up and now I wish I was dead,Chandler,Negative
Look I'm sorry guys I just don't wanna give them any more ammunition than they already have,Monica,Neutral
Monica Hi! Um Monica you're scaring me I mean you're like you're like all chaotic and twirly And notnot in a good way,Phoebe,Negative
That's because as far as my parents are concerned Ross can do no wrong Y'see he's the Prince Apparently they had some big ceremony before I was born,Monica,Neutral
Easy Rach we'll find it Won't we! Chandler and,Monica,Neutral
I gave you one job! Starts to examin the lasagne through the bottom of the glass pan,Monica,Negative
